Current,Voltage,Ah Out,Cumulative Actual Disch Ah,Power,Remaining Capacity,Time to Depletion,type,capacity,charged,prediction
14.03,11.22,0.2338333333333333,55.503833333333375,157.4166,24.496166666666625,6285.545260156797,tn1,85.0,80.0,[6090.538333]
14.03,11.22,0.2338333333333333,55.73766666666671,157.4166,24.262333333333288,6225.545260156795,tn1,85.0,80.0,[6053.52475282]
17.2,11.13,0.2866666666666667,56.02433333333338,191.436,23.97566666666662,5018.162790697665,tn1,85.0,80.0,[5135.42609557]
17.18,11.11,0.2863333333333333,56.31066666666671,190.8698,23.689333333333288,4964.0046565774055,tn1,85.0,80.0,[4870.67393621]
17.16,11.1,0.286,56.59666666666672,190.476,23.403333333333286,4909.7902097902,tn1,85.0,80.0,[4850.59807606]
17.81,11.07,0.2968333333333333,56.893500000000046,197.1567,23.106499999999954,4670.60078607523,tn1,85.0,80.0,[4562.76492784]
17.79,11.05,0.2965,57.19000000000005,196.5795,22.80999999999996,4615.851602023599,tn1,85.0,80.0,[4527.83506315]
17.77,11.04,0.2961666666666666,57.48616666666671,196.1808,22.513833333333288,4561.046707934713,tn1,85.0,80.0,[4481.39920894]
24.61,10.83,0.4101666666666667,57.89633333333338,266.5263,22.10366666666662,3233.368549370168,tn1,85.0,80.0,[3283.17315651]
24.54,10.79,0.409,58.30533333333338,264.7866,21.69466666666662,3182.591687041558,tn1,85.0,80.0,[3261.10428408]
24.46,10.74,0.4076666666666667,58.71300000000005,262.7004,21.28699999999996,3133.000817661481,tn1,85.0,80.0,[3253.54757713]
4.68,11.37,0.078,58.79100000000005,53.21159999999999,21.20899999999996,16314.61538461535,tn1,85.0,80.0,[18997.19835502]
